Kode, Nama Use Case,User,Asal proses,input,deskripsi,Output,Entity/Objek Terkait,method,Implementation,target tanggal,PIC
UC-01,Generate repeat order,Sales,Penjualan,-,generate Quotation berdasarkan yang order yang sebelumnya,quotation,"Quotation, Quatation detail,Parameter, Regulasi, Produk uji",POST,TRUE,,
UC-02,Cek customer di database,Sales,Penjualan,Nama Customer,melakukan pengecekan apakah customer sudah ada di database atau belum,list customer,Customer,GET,TRUE,,
UC-03,Input data customer,Sales,Penjualan,data customer,mendaftarkan customer baru,-,Customer,POST,TRUE,,
UC-04,Buat draft penawaran,Sales,Penjualan,penawaran,membuat penawaran baru yang akan dikirimkan ke customer,quotation,"Quotation, Quatation detail, Parameter, Regulasi, Produk uji",POST,TRUE,,
UC-05,Buat penawaran,Sales,Penjualan,penawaran,membuat penawaran baru yang akan dikirimkan ke customer,quotation,"Quotation, Quatation detail, Parameter, Regulasi, Produk uji",POST,TRUE,,
UC-06,Revisi Penawaran,Sales,Penjualan,penawaran,mervisi penawaran yang sudah ada tapi membuat row baru (quotation_rev1),quotation,"Quotation, Quotation Revision, Quatation detail, Parameter, Regulasi, Produk uji",POST,TRUE,,
UC-07,Upload Purchase Order,Sales,Penjualan,PO,konfirmasi penawaran yang sudah deal serta upload bukti deal,-,"Quotation, Quatation detail, Parameter, Regulasi, Produk uji, Sales Order",PUT,TRUE,,
UC-08,Pilih Sales Order yang akan dibuat sampling,Planning,Planning Sampling,,Memilih sales order yang ingin dilakukan sampling,,"Sales Order, Sales Order Details, Sampel",PUT,TRUE,,
UC-09,Pilih titik sampling,Planning,Planning Sampling,,Memilih titik lokasi untuk pengambilan sampling,,"Sales Order, Sales Order Details, Sampel",PUT,TRUE,,
UC-10,Pilih Teknisi,Planning,Planning Sampling (teknisi),,pilih petugas yang sesuai dengan pengujiannya,,"Sales Order, Sales Order Details, Petugas, Keahlian, Jadwal, Pengambilan",PUT,TRUE,,
UC-11,Pilih Jadwal Pengambilan,Planning,Planning Sampling (teknisi),,pilih jadwal dimana semua teknisi yang dipilih masih kosong,,"Sales Order, Sales Order Details, Petugas, Keahlian, Jadwal, Pengambilan",PUT,TRUE,,
UC-12,Reschedule,Planning,Planning Sampling (teknisi),,redirect ke teknisi dan jadwal,,"Sales Order, Sales Order Details, Petugas, Keahlian, Jadwal, Pengambilan",PUT,TRUE,,
UC-13,Get Barcode & Label,Petugas Sampling,Persiapan Sampling,,download barcode dan label buat di print,,Sales Order Details,GET,TRUE,,
UC-14,Kirim Barcode dan Label ke klien,Sales,Pengiriman Peralatan Sampling,,Mailer/wa lewat aplikasi,,Sales Order Details,GET,TRUE,,
UC-15,Kirim Instruksi,Sales,Pengiriman Peralatan Sampling,,Mailer/wa lewat aplikasi,,"Sales Order, Instruksi",GET,TRUE,,
UC-16,Catat hasil pengukuran,Petugas Sampling,Pemngambilan Sampel,,,,"Worksheet_Pengambilan, Pengambilan, Sampel",PUT,FALSE,10/4/2026,
UC-17,Cata Abnormalitas di Lapangan,Petugas Sampling,Pemngambilan Sampel,,,,"Worksheet_Pengambilan, Pengambilan, Sampel",PUT,FALSE,10/4/2026,
UC-18,Scan Barcode Sampel,Petugas Sampling,Penerimaan Sampel,,update status sampel jadi diterima,,Sampel,PUT,FALSE,10/4/2026,
UC-19,Catat Abnormalitas,Petugas Sampling,Penerimaan Sampel,,beri flag dan deskripsi abnormalitas,,Sampel,PUT,FALSE,10/4/2026,
UC-20,Pilih alat pengujian,Planning,Planning Pengujian,,,,,,FALSE,10/4/2026,
UC-21,Pilih laboran yang memegang alat,Planning,Planning Pengujian,,,,,,FALSE,10/4/2026,
UC-22,tentukan waktu kerja,Planning,Planning Pengujian,,,,,,FALSE,10/4/2026,
UC-23,Lihat penugasan,Laboran,Pengujian,,,,,,FALSE,10/4/2026,
UC-24,Ambil tiket pengerjaan dan sampel,Laboran,Pengujian,,,,,,FALSE,10/4/2026,
UC-25,Input hasil sampling,Laboran,Pengujian,,,,,,FALSE,10/4/2026,
UC-26,Pilih Sales Order Detail,selia,Penyeliaan,,,,,,FALSE,10/4/2026,
UC-27,Pilih Sales Order Detail,selia,Penyeliaan,,,,,,FALSE,10/4/2026,
UC-28,Pilih Parameter,selia,Penyeliaan,,,,,,FALSE,10/4/2026,
UC-29,Kirim draft ke customer,Sales,Penyeliaan,,,,,,FALSE,,
UC-30,Request uji ulang,selia,Penyeliaan,,,,,,FALSE,,
UC-31,Request sampling ulang,selia,Penyeliaan,,,,,,FALSE,,
